DATE,Value
01-01-1985,72.5052
02-01-1985,70.672
03-01-1985,62.4502
04-01-1985,57.4714
05-01-1985,55.3151
06-01-1985,58.0904
07-01-1985,62.6202
08-01-1985,63.2485
09-01-1985,60.5846
10-01-1985,56.3154
11-01-1985,58.0005
12-01-1985,68.7145
01-01-1986,73.3057
02-01-1986,67.9869
03-01-1986,62.2221
04-01-1986,57.0329
05-01-1986,55.8137
06-01-1986,59.9005
07-01-1986,65.7655
08-01-1986,64.4816
09-01-1986,61.0005
10-01-1986,57.5322
11-01-1986,59.3417
12-01-1986,68.1354
01-01-1987,73.8152
02-01-1987,70.062
03-01-1987,65.61
04-01-1987,60.1586
05-01-1987,58.8734
06-01-1987,63.8918
07-01-1987,68.8694
08-01-1987,70.0669
09-01-1987,64.1151
10-01-1987,60.3789
11-01-1987,62.4643
12-01-1987,70.5777
01-01-1988,79.8703
02-01-1988,76.1622
03-01-1988,70.2928
04-01-1988,63.2384
05-01-1988,61.4065
06-01-1988,67.1097
07-01-1988,72.9816
08-01-1988,75.7655
09-01-1988,67.5152
10-01-1988,63.2832
11-01-1988,65.1078
12-01-1988,73.8631
